level,task,seed,reward,num_actions,tokens_used,num_api_calls,error,rule_added
easy,click-link,41,1.0,1,4097,3,,False
easy,click-dialog,41,1.0,1,3237,2,,False
easy,enter-password,41,1.0,3,7022,4,,False
easy,drag-box,41,1.0,2,8678,5,,False
easy,drag-circle,41,1.0,2,4133,3,,False
easy,drag-single-shape,41,1.0,2,4248,3,,False
easy,grid-coordinate,41,1.0,1,4081,2,,False
easy,login-user,41,1.0,3,3090,2,,False
easy,click-button,41,1.0,1,2791,2,,False
easy,email-inbox-delete,41,1.0,1,3393,2,,False
easy,text-transform,41,1.0,2,3775,2,,False
easy,simple-arithmetic,41,1.0,2,4126,3,,False
easy,simple-algebra,41,1.0,2,2881,2,,False
easy,read-table-2,41,1.0,3,6540,3,,False
easy,focus-text-2,41,1.0,1,2559,2,,False
medium,click-checkboxes-transfer,41,1.0,2,3375,2,,False
medium,multi-orderings,41,1.0,4,6122,3,,False
medium,phone-book,41,1.0,4,10082,5,,False
medium,multi-layouts,41,1.0,4,4569,2,,False
medium,click-tab-2,41,1.0,2,5236,3,,False
medium,email-inbox-reply,41,1.0,4,10902,5,,False
medium,drag-shapes-2,41,1.0,6,9175,3,,False
medium,drag-shapes,41,-1.0,2,9802,3,,True
medium,copy-paste,41,1.0,6,11942,7,,False
medium,click-checkboxes-large,41,1.0,9,9132,2,,False
medium,click-collapsible-2,41,1.0,4,9435,5,,False
medium,click-widget,41,1.0,1,2697,2,,False
medium,email-inbox-forward,41,1.0,4,10807,5,,False
medium,search-engine,41,1.0,4,8158,4,,False
medium,navigate-tree,41,1.0,2,4976,3,,False
hard,buy-ticket,41,1.0,1,3159,2,,False
hard,form-sequence-2,41,1.0,3,9217,5,,False
hard,social-media-all,41,1.0,4,17172,3,,False
hard,email-inbox-nl-turk,41,1.0,4,13415,5,,False
hard,drag-sort-numbers,41,1.0,4,12551,5,,False
hard,tic-tac-toe,41,1.0,3,7337,4,,False
hard,book-flight,41,1.0,13,86921,14,,False
hard,click-checkboxes-soft,41,1.0,6,5388,2,,False
hard,click-menu-2,41,1.0,2,4531,3,,False
hard,copy-paste-2,41,1.0,6,14579,7,,False
hard,terminal,41,1.0,6,10045,4,,False
hard,social-media,41,1.0,2,11239,3,,False
hard,guess-number,41,1.0,6,7209,4,,False
hard,email-inbox,41,1.0,1,6567,3,,False
hard,order-food,41,1.0,3,10503,3,,False
