benchmark,arch,difficulty,config,num_samples,avg_f1,avg_em,avg_reward,success_rate,avg_num_actions,total_tokens,avg_tokens_per_sample,total_api_calls,avg_api_calls,error_count
hotpotQA,a1,easy,a1_easy,500,0.7941,0.684,,,,1464062,2928.124,1609,3.218,15
hotpotQA,a1,hard,a1_hard,500,0.7821,0.642,,,,1596607,3193.214,1730,3.46,14
hotpotQA,a1,medium,a1_medium,500,0.889,0.824,,,,1590652,3181.304,1759,3.518,13
hotpotQA,b1,easy,b1_easy,500,0.7398,0.626,,,,3526030,7052.06,3876,7.752,37
hotpotQA,b1,hard,b1_hard,500,0.6978,0.566,,,,4649321,9298.642,5072,10.144,67
hotpotQA,b1,medium,b1_medium,500,0.8096,0.742,,,,4258971,8517.942,4887,9.774,49
hotpotQA,b2,easy,b2_easy,500,0.7118,0.562,,,,2229363,4458.726,2066,4.132,35
hotpotQA,b2,hard,b2_hard,500,0.6023,0.444,,,,2342998,4685.996,2147,4.294,46
hotpotQA,b2,medium,b2_medium,500,0.723,0.632,,,,2365439,4730.878,2231,4.462,28
hotpotQA,baseline,easy,baseline_easy,499,0.7985,0.6733,,,,1096286,2196.9659,499,1.0,0
hotpotQA,baseline,hard,baseline_hard,499,0.793,0.6353,,,,1128853,2262.2305,499,1.0,0
hotpotQA,baseline,medium,baseline_medium,499,0.9167,0.8457,,,,1077975,2160.2705,499,1.0,0
hotpotQA,c1,easy,c1_easy,500,0.7595,0.656,,,,2734659,5469.318,2025,4.05,37
hotpotQA,c1,hard,c1_hard,500,0.7396,0.586,,,,3058673,6117.346,2225,4.45,21
hotpotQA,c1,medium,c1_medium,500,0.853,0.784,,,,2969725,5939.45,2229,4.458,22
miniWOB,a1,easy,a1_easy,45,,,1.0,1.0,1.8,176830,3929.5556,113,2.5111,0
miniWOB,a1,hard,a1_hard,45,,,0.8667,0.8889,4.4,640855,14241.2222,207,4.6,1
miniWOB,a1,medium,a1_medium,45,,,0.9178,0.9556,3.7778,339054,7534.5333,159,3.5333,0
miniWOB,b1,easy,b1_easy,45,,,0.9333,0.9333,1.8667,304031,6756.2444,210,4.6667,0
miniWOB,b1,hard,b1_hard,45,,,0.8444,0.8667,4.2444,917518,20389.2889,360,8.0,2
miniWOB,b1,medium,b1_medium,45,,,0.8889,0.8889,4.1333,638160,14181.3333,350,7.7778,2
miniWOB,b2,easy,b2_easy,45,,,1.0,1.0,1.8,173719,3860.4222,109,2.4222,0
miniWOB,b2,hard,b2_hard,45,,,0.9778,0.9778,4.2667,644567,14323.7111,194,4.3111,1
miniWOB,b2,medium,b2_medium,45,,,0.8733,0.9333,3.8,345168,7670.4,154,3.4222,0
miniWOB,c1,easy,c1_easy,45,,,1.0,1.0,1.8,194582,4324.0444,116,2.5778,0
miniWOB,c1,hard,c1_hard,45,,,1.0,1.0,4.3111,785448,17454.4,223,4.9556,1
miniWOB,c1,medium,c1_medium,45,,,0.8973,0.9556,3.8889,396388,8808.6222,175,3.8889,0
