prediction,reference,f1,em,tokens_used,num_api_calls,error
Badr Hari,Badr Hari,1.0,1,2310,3,
Super Bowl XLVIII,Super Bowl XLVIII,1.0,1,2304,3,
"James Hetfield, Lars Ulrich, Kirk Hammett, and Robert Trujillo","Hetfield and Ulrich, longtime lead guitarist Kirk Hammett, and bassist Robert Trujillo.",0.6666666666666666,0,3738,4,
2017,2017,1.0,1,2234,3,
Nevada,Nevada,1.0,1,2180,3,
Kelli Ward,Kelli Ward,1.0,1,5307,4,
Carol Lawrence,Carol Lawrence,1.0,1,3463,4,
New York City,New York City,1.0,1,2438,3,
Amy Jo Johnson,Amy Jo Johnson,1.0,1,2289,3,
Australia,Australia,1.0,1,2420,3,
California,California,1.0,1,2311,3,
Roman Catholic,Roman Catholic,1.0,1,2331,3,
Howard Marks,Dennis Howard Marks,0.8,0,4592,4,
Robert Sheehan,Robert Sheehan,1.0,1,2500,3,
Sex and the City,Sex and the City,1.0,1,2471,3,
England,England,1.0,1,2244,3,
Robert Zemeckis,Robert Zemeckis,1.0,1,2457,3,
South Park,South Park,1.0,1,2376,3,
Boston College,Boston College,1.0,1,2706,3,
Victor Mature,Victor John Mature,0.8,0,2379,3,
Canada,Canada,1.0,1,2270,3,
Keyshia Cole,Keyshia Cole,1.0,1,2742,3,
"Peter O'Meara portrayed Norman Dike in the HBO miniseries ""Band of Brothers"".",Band of Brothers,0.4,0,2624,3,
Train to Busan,Train to Busan,1.0,1,2608,3,
Music,rock band,0.0,0,2308,3,
CEO of Lionsgate UK & Europe,CEO of Lionsgate UK & Europe,1.0,1,6050,4,
Swoosie Kurtz,Swoosie Kurtz,1.0,1,3587,4,
,Great Britain,0.0,0,0,0,APITimeoutError: Request timed out.
,"July 5, 1984",0.0,0,0,0,APITimeoutError: Request timed out.
Turkey,Turkey,1.0,1,2323,3,
300,300,1.0,1,2709,3,
"2,586","2,586",1.0,1,3060,4,
English,English,1.0,1,2190,3,
Imi Lichtenfeld,"Emrich ""Imi"" Lichtenfeld",0.8,0,2574,3,
Lord Black of Crossharbour,Lord Black of Crossharbour,1.0,1,2477,3,
Hong Kong,Hong Kong,1.0,1,2362,3,
Danny Manning,Danny Manning,1.0,1,2573,3,
Bust,BUST,1.0,1,2594,3,
Rock,rock,1.0,1,5629,5,
Sarah J. Maas,Sarah Janet Maas,0.6666666666666666,0,2167,3,
Gorillaz,alternative rock virtual band Gorillaz,0.33333333333333337,0,3609,4,
,rock,0.0,0,0,0,APITimeoutError: Request timed out.
"Tsim Sha Tsui, Hong Kong","Tsim Sha Tsui, Hong Kong",1.0,1,3750,4,
Massachusetts,Massachusetts,1.0,1,2279,3,
beetle,beetle,1.0,1,3606,3,
Cataloochee,Cataloochee,1.0,1,3803,4,
NBC 10,NBC 10,1.0,1,2912,3,
playwright,playwright,1.0,1,2487,3,
China,China,1.0,1,2021,3,
The Raconteurs,The Raconteurs,1.0,1,3044,4,
Cooking Light,Cooking Light,1.0,1,2174,3,
Radiohead,Radiohead,1.0,1,2264,3,
Opera,opera,1.0,1,2482,3,
Lyudmila Petrushevskaya,Lyudmila Stefanovna Petrushevskaya,0.8,0,3241,4,
Yes,yes,1.0,1,2027,3,
Donington,"Donington, Lincolnshire",0.6666666666666666,0,3172,4,
ESPN,ESPN,1.0,1,2515,3,
Amelia Earhart,Amelia Earhart,1.0,1,2632,3,
England,England,1.0,1,2483,3,
Germany,Germany,1.0,1,2392,3,
George Frideric Handel,George Frideric Handel,1.0,1,2716,3,
Valley View Casino Center,Valley View Casino Center,1.0,1,3594,4,
Paul McCartney,Paul McCartney,1.0,1,2353,3,
Middleweight,refers to different weight classes,0.0,0,4532,4,
Love/Hate,Love/Hate,1.0,1,3933,4,
Will Vodery,Scott Joplin,0.0,0,8984,5,
Ram Charan,Ram Charan,1.0,1,3809,4,
"September 29, 1784","September 29, 1784",1.0,1,3239,4,
2,two,0.0,0,2633,3,
25 June 1961,25 June 1961,1.0,1,2310,3,
Field hockey,2012 Summer Olympics,0.0,0,2453,3,
The Ladykillers,The Ladykillers,1.0,1,2634,3,
Authors,is a British author,0.0,0,2260,3,
Born to Run,Born to Run,1.0,1,2474,3,
England,England,1.0,1,2525,3,
Mar-a-Lago,Mar-a-Lago,1.0,1,3743,4,
singer-songwriter,lead singer,0.0,0,2552,3,
Dick Van Patten,Richard Vincent Van Patten,0.5714285714285715,0,2511,3,
Vancouver Canucks,Vancouver Canucks,1.0,1,2054,3,
"No, only Roberto Bolaño is Chilean.",no,0.2857142857142857,0,3589,3,
I Will Always Love You,I Will Always Love You,1.0,1,3053,3,
,Adelphi Theatre,0.0,0,0,0,APITimeoutError: Request timed out.
Steyr Mannlicher,Steyr Mannlicher,1.0,1,3285,4,
Country music,country,0.6666666666666666,0,2687,3,
Film director,film director,1.0,1,3265,4,
Warrington,Cheshire,0.0,0,3402,4,
American Pie,American Pie,1.0,1,3230,3,
1979,Mellon Collie and the Infinite Sadness,0.0,0,4085,3,
Duchy of Cornwall land,Duchy of Cornwall land,1.0,1,4187,4,
Brandon Camp,Brandon Camp,1.0,1,2162,3,
Brazil,Brazil,1.0,1,2312,3,
"on a small island off Castlebay, Barra, in the Outer Hebrides, Scotland",Scotland,0.15384615384615385,0,4083,3,
1958,1958,1.0,1,3187,4,
2,II,0.0,0,2507,3,
Action-adventure-fantasy,action,0.0,0,2092,3,
Rudolf Nureyev,Rudolf Khametovich Nureyev,0.8,0,3117,3,
A Mother's Gift,A Mother's Gift,1.0,1,2880,3,
Predestination,Predestination,1.0,1,3570,4,
World War II,World War II,1.0,1,2222,3,
"August 5, 1962","August 5, 1962",1.0,1,2655,3,
"a ranch in Conway, Missouri",Missouri,0.33333333333333337,0,3623,4,
Newton Heath LYR Football Club,the club was founded as Newton Heath LYR,0.6153846153846154,0,4641,4,
Ford Motor Land Development and Petrie Dierman Kughn,Petrie Dierman Kughn in 1994.,0.4615384615384615,0,3269,3,
New York Cotton Exchange,New York Cotton Exchange,1.0,1,2342,3,
"8,765,000","8,765,000",1.0,1,3743,4,
Mary Stanley,Mary Stanley,1.0,1,2363,3,
,Dick Van Dyke,0.0,0,0,0,APITimeoutError: Request timed out.
Luc Besson,Luc Besson,1.0,1,2263,3,
