prediction,reference,f1,em,tokens_used,num_api_calls,error
Arthur's Magazine,Arthur's Magazine,1.0,1,2260,3,
Delhi,Delhi,1.0,1,2132,3,
,American,0.0,0,0,0,APITimeoutError: Request timed out.
Ethanol,alcohol,0.0,0,4029,4,
Jonathan Stark,Jonathan Stark,1.0,1,2264,3,
2006,2006,1.0,1,2220,3,
El-P,Jaime Meline,0.0,0,2286,3,
Walter Coy,Walter Darwin Coy,0.8,0,4089,4,
United States,United States,1.0,1,3546,4,
2006,2006,1.0,1,3582,4,
Fox,Fox,1.0,1,2368,3,
California,Hawaii,0.0,0,2092,3,
The Wolfhounds,The Wolfhounds,1.0,1,2481,3,
17,16-year-old,0.0,0,5574,4,
World War II,World War II,1.0,1,3556,4,
No,no,1.0,1,2940,3,
Yes,yes,1.0,1,2232,3,
Director,director,1.0,1,2191,3,
"Roseau, Minnesota, USA","Roseau, Minnesota, USA",1.0,1,3157,4,
The Saimaa Gesture,The Saimaa Gesture,1.0,1,2341,3,
David Lee Roth,David Lee Roth,1.0,1,2234,3,
Nassau County,Nassau County,1.0,1,3053,4,
Dessau,Dessau,1.0,1,3187,4,
The Chimes,The Joshua Tree,0.4,0,4279,4,
Tammy Wynette,Tammy Wynette,1.0,1,3921,4,
No,no,1.0,1,2324,3,
Kato,Kato,1.0,1,2631,3,
Province of Buenos Aires,Province of Buenos Aires,1.0,1,2636,3,
1932,1932,1.0,1,3824,3,
9,nine,0.0,0,3060,3,
Conservative Party,Conservative,0.6666666666666666,0,3237,4,
Salaam Bombay,Salaam Bombay,1.0,1,3722,3,
Yes,yes,1.0,1,2260,3,
,Zooey Deschanel,0.0,0,0,0,APITimeoutError: Request timed out.
15,15,1.0,1,3585,4,
Filmmaker,filmmaker,1.0,1,3026,3,
Golf Magazine,Golf Magazine,1.0,1,2845,3,
Mr. Burns,Mr. Burns,1.0,1,2488,3,
"Washington, D.C.","Washington, D.C.",1.0,1,2306,3,
Christopher Hitchens,Christopher Hitchens,1.0,1,3565,4,
R Adams Cowley,R Adams Cowley,1.0,1,3756,4,
Dennis Publishing,Dennis Publishing,1.0,1,2335,3,
Garth Brooks,Garth Brooks,1.0,1,3092,3,
Dirt,Dirt,1.0,1,2615,3,
,The Fantastic The,0.0,0,0,0,APITimeoutError: Request timed out.
1988,1988,1.0,1,3479,4,
"722,664","722,664",1.0,1,3262,4,
Max Gail,Max Gail,1.0,1,4334,4,
Yes,yes,1.0,1,2189,3,
Gillette Stadium,Gillette Stadium,1.0,1,3112,4,
Fu Manchu,Fu Manchu,1.0,1,2352,3,
Lullwater Estate,Lullwater Estate,1.0,1,2696,3,
Sumerians,the Sumerians,0.6666666666666666,0,4315,4,
17%,17%,1.0,1,4349,4,
David Boren,David Lyle Boren,0.8,0,3184,4,
Lawrence County,Lawrence County,1.0,1,3208,4,
MedStar Washington Hospital Center,MedStar Washington Hospital Center,1.0,1,2416,3,
"294,000","294,000",1.0,1,4502,4,
Yes,yes,1.0,1,2272,3,
"February 5, 1953","February 5, 1953",1.0,1,3809,4,
,Target Corporation,0.0,0,0,0,APITimeoutError: Request timed out.
Cheryl Campbell,Cheryl Campbell,1.0,1,3944,4,
Bob Barker,Bob Barker,1.0,1,2290,3,
King's Quest,F.E.A.R.,0.0,0,3780,3,
Hustle,Hustle,1.0,1,3408,4,
Bass Rock Castle,Tantallon Castle,0.4,0,4134,4,
Exeter Book,Exeter Book,1.0,1,3537,4,
The Desert Fox,the Desert Fox,1.0,1,3472,4,
New Jersey,New Jersey,1.0,1,3143,4,
My Own Worst Enemy,My Own Worst Enemy,1.0,1,2200,3,
1979,1979,1.0,1,3126,4,
,3000 metres steeplechase,0.0,0,0,0,APITimeoutError: Request timed out.
Anna Kournikova,Anna Kournikova,1.0,1,3541,4,
Yes,yes,1.0,1,2502,3,
Mary Pierce,Mary Pierce,1.0,1,2276,3,
St. Olaf College,St. Olaf College,1.0,1,3849,4,
Jardine Matheson,Jardine Matheson,1.0,1,2357,3,
No,no,1.0,1,2245,3,
"May 30, 1943","May 30, 1943",1.0,1,3260,4,
1957,1957,1.0,1,3870,4,
Berlin,Berlin,1.0,1,2901,3,
Jimmie Ross,Jimmie Ross,1.0,1,2410,3,
American Chemical Society,the American Chemical Society,0.8571428571428571,0,3443,4,
Park Dietz,Park Dietz,1.0,1,3336,3,
Roy Orbison,Roy Orbison,1.0,1,3845,4,
Song of the South,"""Song of the South"".",1.0,1,3236,4,
"Vincent ""Mad Dog"" Coll","Vincent ""Mad Dog"" Coll",1.0,1,3341,4,
"108,249","108,249",1.0,1,3110,4,
1984,1984,1.0,1,3444,4,
Carmina Burana,Carmina Burana,1.0,1,3315,4,
Michael Dowse,Michael Dowse,1.0,1,3167,4,
Barack Obama,Barack Hussein Obama II,0.6666666666666666,0,2106,3,
"56,551","56,551",1.0,1,4195,4,
Chicago,Chicago,1.0,1,3767,3,
Yes,yes,1.0,1,2364,3,
23rd Summer Deaflympics,the 23rd Summer Deaflympics,0.8571428571428571,0,2461,3,
Peter Chelsom,Peter Chelsom,1.0,1,3604,4,
"Uniondale, New York","Uniondale, New York",1.0,1,3732,4,
Sinaloa,Sinaloa,1.0,1,5327,4,
2003,2003,1.0,1,2307,3,
Odysseas Elytis,Odysseas Elytis,1.0,1,2379,3,
Argentine,Argentine,1.0,1,8042,4,
Robert E. Howard,Richard Ford,0.0,0,2600,3,
United States,United States,1.0,1,3163,4,
The Producers,The Producers,1.0,1,7161,4,
Saturday Night Live,Saturday Night Live,1.0,1,2913,3,
barnstormer,barnstormer,1.0,1,3495,4,
Saludos Amigos,Saludos Amigos,1.0,1,2648,3,
Chile,Chile,1.0,1,2287,3,
,Institute of Muslim Minority Affairs,0.0,0,0,0,APITimeoutError: Request timed out.
Graham Hess,Graham Hess,1.0,1,3561,4,
Mara Santangelo,Mara Santangelo,1.0,1,2276,3,
Martha Coolidge,Martha Coolidge,1.0,1,3067,4,
Panzer,Panzer,1.0,1,4400,3,
"6,960","6,960",1.0,1,3384,4,
"more than 1,600","more than 1,600",1.0,1,3763,4,
state capital,state capital,1.0,1,3231,4,
Bhagalpur,Bihar,0.0,0,4243,4,
Meadowbank Gold Mine,Meadowbank Gold Mine,1.0,1,2364,3,
Stuart period,Stuart period,1.0,1,2846,3,
19 miles,19 mi,0.5,0,3509,4,
Don Henley,Donald Hugh Henley,0.4,0,3462,4,
Suffolk County,Suffolk County,1.0,1,3399,4,
Kamal Shalorus,Kamal Shalorus,1.0,1,3009,4,
Rockstar Games,Rockstar Games,1.0,1,3383,4,
Otto Stern,Otto Stern,1.0,1,3785,4,
H. Bruce Humberstone,"H. Bruce ""Lucky"" Humberstone",0.8571428571428571,0,2464,3,
No,no,1.0,1,2214,3,
Mary Ramsey,Mary Ramsey,1.0,1,3249,4,
1969,1969,1.0,1,3520,4,
R&B,R&B,1.0,1,3782,4,
Bayern Munich,Bayern Munich,1.0,1,3675,3,
22,22,1.0,1,3726,4,
PBS NewsHour,PBS NewsHour,1.0,1,3302,4,
1948,1948,1.0,1,3362,4,
275 years,275 years,1.0,1,3319,4,
M&T Bank Stadium,M&T Bank Stadium,1.0,1,3451,4,
American,American,1.0,1,3322,4,
La Plaza Mall,La Plaza Mall,1.0,1,2392,3,
Queen Elizabeth II,Queen Elizabeth II,1.0,1,3240,4,
Memphis International Airport,Memphis International Airport,1.0,1,2243,3,
Rickenbacker International Airport,Rickenbacker International Airport,1.0,1,2783,3,
Notre Dame High School,Notre Dame High School,1.0,1,6067,6,
shrub,plants,0.0,0,3341,3,
mums or chrysanths,mums or chrysanths,1.0,1,3479,4,
Alan Menken,Alan Menken,1.0,1,2670,3,
Ken Leung,"Kenneth ""Ken"" Leung",0.8,0,3001,3,
United States,American,0.0,0,2442,3,
cybersecurity,cybersecurity,1.0,1,3060,4,
William of Wykeham,William of Wykeham,1.0,1,3249,4,
The Runaway Soldier and the Devil,The Runaway Soldier and the Devil,1.0,1,3483,4,
743,743,1.0,1,2221,3,
Anthony Hopkins and Jessica Lange,Anthony Hopkins and Jessica Lange,1.0,1,2222,3,
August Burns Red,August Burns Red,1.0,1,2799,3,
Virginia Wade,Virginia Wade,1.0,1,2345,3,
1928,1928,1.0,1,3065,4,
American,American,1.0,1,3016,4,
Bankers Life Fieldhouse,Bankers Life Fieldhouse,1.0,1,2180,3,
England,England,1.0,1,3037,4,
Henry Bacon,Henry Bacon,1.0,1,2232,3,
Larry Tanenbaum,Lawrence M. Tanenbaum,0.4,0,3083,4,
Allan Dwan,Allan Dwan,1.0,1,2188,3,
6,six,0.0,0,3565,4,
Carlos Bacca,Carlos Arturo Bacca Ahumada,0.6666666666666666,0,3539,4,
Castle Road,Castle Road,1.0,1,2595,3,
oil of vitriol,oil of vitriol,1.0,1,3144,4,
John Kennedy Toole,John Kennedy Toole,1.0,1,3013,3,
Northwest Side,Northwest Side,1.0,1,5721,4,
"Rockhill Furnace, Pennsylvania","Rockhill Furnace, Pennsylvania",1.0,1,6335,5,
Australia,Australia,1.0,1,2271,3,
Aadesh Shrivastava,Aadesh Shrivastava,1.0,1,3730,3,
No,no,1.0,1,2419,3,
Pirelli World Challenge,Pirelli World Challenge,1.0,1,3580,4,
Frank Darabont,Frank Darabont,1.0,1,2263,3,
Ochagavia,Ochagavia,1.0,1,2314,3,
Yes,yes,1.0,1,2207,3,
Tom Wopat,Tom Wopat,1.0,1,2508,3,
Kirk Kerkorian,"Kerkor ""Kirk"" Kerkorian",0.8,0,2446,3,
Showbox,Showbox,1.0,1,3061,4,
Katelyn Tarver,Katelyn Tarver,1.0,1,2325,3,
"Las Vegas, Nevada","Las Vegas, Nevada",1.0,1,3123,4,
David Ayer,David Ayer,1.0,1,2622,3,
Music Icons,"""Music Icons""",1.0,1,2664,3,
Scott Derrickson,Scott Derrickson,1.0,1,2762,3,
Neosho River,Neosho River,1.0,1,3568,4,
Julie Cooper,Julie Cooper,1.0,1,5476,5,
$268 million,$268 million,1.0,1,3903,4,
1928,1928,1.0,1,3438,4,
No,no,1.0,1,3002,3,
Sarfarosh,Sarfarosh,1.0,1,5824,4,
Ekaterina Gordeeva,Ekaterina Gordeeva,1.0,1,2704,3,
Texas Tech Red Raiders,Texas Tech Red Raiders,1.0,1,3327,4,
John Layfield,John Layfield,1.0,1,3349,4,
Twenty One Pilots,Twenty One Pilots,1.0,1,2344,3,
Reggie Yates,Reggie Yates,1.0,1,4297,4,
Richard Berry,Richard Berry,1.0,1,8826,6,
Prodigy,Prodigy,1.0,1,3600,4,
Palm Desert,"Palm Desert, California",0.8,0,3165,4,
