prediction,reference,f1,em,tokens_used,num_api_calls,error
Arthur's Magazine,Arthur's Magazine,1.0,1,6251,9,
Delhi,Delhi,1.0,1,6358,9,
,American,0.0,0,1473,2,Executor failed: APITimeoutError: Request timed out.
ethyl alcohol,alcohol,0.6666666666666666,0,6972,9,
Jonathan Stark,Jonathan Stark,1.0,1,6404,9,
2006,2006,1.0,1,6955,9,
El-P,Jaime Meline,0.0,0,6965,9,
Walter Coy,Walter Darwin Coy,0.8,0,14125,17,
United States,United States,1.0,1,8052,9,
2006,2006,1.0,1,12632,14,
Fox,Fox,1.0,1,6492,9,
Hawaii,Hawaii,1.0,1,6441,9,
The Wolfhounds,The Wolfhounds,1.0,1,6272,9,
16,16-year-old,0.0,0,9248,10,
World War II,World War II,1.0,1,13240,13,
"No, Pavel Urysohn was a mathematician known for topology, while Leonid Levin is a computer scientist known for cryptography and complexity theory.",no,0.08695652173913045,0,15896,18,
Yes,yes,1.0,1,7042,9,
Director,director,1.0,1,6212,9,
"Roseau, Minnesota, USA","Roseau, Minnesota, USA",1.0,1,6177,9,
The Saimaa Gesture,The Saimaa Gesture,1.0,1,3627,5,
David Lee Roth,David Lee Roth,1.0,1,7695,9,
Nassau County,Nassau County,1.0,1,7604,10,
Dessau,Dessau,1.0,1,7510,9,
The Joshua Tree,The Joshua Tree,1.0,1,6557,9,
Tammy Wynette,Tammy Wynette,1.0,1,10191,9,
No,no,1.0,1,6240,9,
Kato,Kato,1.0,1,4033,5,
Province of Buenos Aires,Province of Buenos Aires,1.0,1,5800,6,
,1932,0.0,0,4258,4,Planner call failed: APITimeoutError: Request timed out.
,nine,0.0,0,2294,2,Executor failed: APITimeoutError: Request timed out.
Conservative Party,Conservative,0.6666666666666666,0,6470,9,
Salaam Bombay!,Salaam Bombay,1.0,1,13382,14,
Yes,yes,1.0,1,6322,9,
Zooey Deschanel,Zooey Deschanel,1.0,1,7682,9,
15,15,1.0,1,6744,9,
Filmmaker,filmmaker,1.0,1,8491,10,
Golf Magazine,Golf Magazine,1.0,1,7522,9,
Mr. Burns,Mr. Burns,1.0,1,10195,14,
"Washington, D.C.","Washington, D.C.",1.0,1,4008,5,
Christopher Hitchens,Christopher Hitchens,1.0,1,6721,6,
R Adams Cowley,R Adams Cowley,1.0,1,13552,14,
Dennis Publishing,Dennis Publishing,1.0,1,6530,9,
Garth Brooks,Garth Brooks,1.0,1,8513,10,
Dirt,Dirt,1.0,1,7093,9,
,The Fantastic The,0.0,0,3567,4,Planner call failed: APITimeoutError: Request timed out.
1988,1988,1.0,1,6642,9,
"722,664","722,664",1.0,1,6372,9,
Max Gail,Max Gail,1.0,1,6749,9,
Yes,yes,1.0,1,5972,9,
Gillette Stadium,Gillette Stadium,1.0,1,9712,13,
Racer X,Fu Manchu,0.0,0,3953,5,
Lullwater Estate,Lullwater Estate,1.0,1,13824,15,
,the Sumerians,0.0,0,19963,14,Planner call failed: APITimeoutError: Request timed out.
,17%,0.0,0,21908,21,Planner call failed: APITimeoutError: Request timed out.
David Boren,David Lyle Boren,0.8,0,5334,6,
Lawrence County,Lawrence County,1.0,1,8952,9,
MedStar Washington Hospital Center,MedStar Washington Hospital Center,1.0,1,3491,5,
"294,000","294,000",1.0,1,9049,10,
Yes,yes,1.0,1,6738,9,
"February 5, 1953","February 5, 1953",1.0,1,7016,9,
Target,Target Corporation,0.6666666666666666,0,12708,14,
Cheryl Campbell,Cheryl Campbell,1.0,1,8022,9,
Bob Barker,Bob Barker,1.0,1,6290,9,
,F.E.A.R.,0.0,0,0,0,Planner call failed: APITimeoutError: Request timed out.
Hustle,Hustle,1.0,1,11029,11,
Bass Rock Castle,Tantallon Castle,0.4,0,14343,15,
Exeter Book,Exeter Book,1.0,1,7099,9,
Desert Fox,the Desert Fox,0.8,0,6539,9,
New Jersey,New Jersey,1.0,1,6181,9,
My Own Worst Enemy,My Own Worst Enemy,1.0,1,3541,5,
1979,1979,1.0,1,6337,9,
,3000 metres steeplechase,0.0,0,55111,39,Maximum planner steps reached before final answer.
Anna Kournikova,Anna Kournikova,1.0,1,7731,9,
Yes,yes,1.0,1,7756,9,
Mary Pierce,Mary Pierce,1.0,1,6265,9,
St. Olaf College,St. Olaf College,1.0,1,8415,9,
Jardine Matheson,Jardine Matheson,1.0,1,7671,9,
No,no,1.0,1,6165,9,
"May 30, 1943","May 30, 1943",1.0,1,7273,10,
1957,1957,1.0,1,8195,10,
Berlin,Berlin,1.0,1,7538,9,
Jimmie Ross,Jimmie Ross,1.0,1,10865,11,
American Chemical Society,the American Chemical Society,0.8571428571428571,0,7703,10,
Park Dietz,Park Dietz,1.0,1,8446,9,
Roy Orbison,Roy Orbison,1.0,1,4043,5,
Song of the South,"""Song of the South"".",1.0,1,6473,9,
Vincent 'Mad Dog' Coll,"Vincent ""Mad Dog"" Coll",1.0,1,6993,9,
"108,249","108,249",1.0,1,6217,9,
1984,1984,1.0,1,6514,9,
Carmina Burana,Carmina Burana,1.0,1,8890,10,
Michael Dowse,Michael Dowse,1.0,1,7964,10,
Barack Obama,Barack Hussein Obama II,0.6666666666666666,0,3363,5,
,"56,551",0.0,0,38852,30,Planner call failed: APITimeoutError: Request timed out.
,Chicago,0.0,0,4683,6,Executor failed: APITimeoutError: Request timed out.
Yes,yes,1.0,1,6410,9,
23rd Summer Deaflympics,the 23rd Summer Deaflympics,0.8571428571428571,0,7280,9,
