prediction,reference,f1,em,tokens_used,num_api_calls
President Richard Nixon,President Richard Nixon,1.0,1,2718,1
Indogrammodes,Crambidae,0.0,0,1512,1
6.213 km,6.213 km long,0.8,0,2017,1
U.S. Highway 60,US 60,0.8,0,1974,1
Todd Phillips,Todd Phillips,1.0,1,2674,1
No,no,1.0,1,1493,1
Aleksander Ford,Aleksander Ford,1.0,1,1259,1
Ulster County,Ulster County,1.0,1,2289,1
Francis Nethersole,Sir Francis Nethersole,0.8,0,1517,1
ingredients,ingredients in beer,0.5,0,1846,1
Glenn Hughes,Glenn Hughes,1.0,1,1556,1
1941,"March 28, 1941",0.5,0,2458,1
standard gauge track,standard gauge track,1.0,1,2118,1
Saint Motel,Saint Motel,1.0,1,1507,1
dance,dancer Gregory Hines,0.0,0,2724,1
No,yes,0.0,0,2238,1
Hawaii,Hawaii,1.0,1,1941,1
Academy of Motion Picture Arts and Sciences (AMPAS),Academy of Motion Picture Arts and Sciences,0.9333333333333333,0,1923,1
The Doughnut in Cheltenham,Cheltenham,0.4,0,1926,1
10 Rillington Place,10 Rillington Place,1.0,1,1969,1
synth-pop,synth-pop,1.0,1,1802,1
Roger Christian,Roger Christian,1.0,1,2252,1
flowering plants,plant,0.0,0,2199,1
375 mi,375 mi long,0.8,0,1502,1
Craig Newmark,Craig Newmark,1.0,1,1613,1
1963 Pan American Games,Pan American Games,0.8571428571428571,0,1635,1
Cognizant,Cognizant,1.0,1,1361,1
Presque Isle State Park,Presque Isle,0.6666666666666666,0,1923,1
"Widnes, Cheshire",Select Security Stadium,0.0,0,4560,1
Isabelle Mergault,Isabelle Mergault,1.0,1,2737,1
0.9 seconds,0.9 s.,0.5,0,2262,1
Halestorm,Halestorm,1.0,1,1904,1
"2,523","2,523",1.0,1,1604,1
"Albuquerque, New Mexico","Albuquerque, New Mexico",1.0,1,2350,1
Millard Fillmore,Millard Fillmore,1.0,1,1840,1
Rihanna,Rihanna,1.0,1,1675,1
Jack Kevorkian,"Jacob ""Jack"" Kevorkian",0.8,0,1925,1
magazine,magazine,1.0,1,2137,1
Promethea,DC Comics,0.0,0,3757,1
Hannibal Lecter,Hannibal Lecter,1.0,1,1733,1
Mark L. Lester,Mark L. Lester,1.0,1,1832,1
dairy products,dairy products,1.0,1,1490,1
85,85,1.0,1,1769,1
Jeff Green,Jeffrey Lynn Green,0.4,0,2289,1
Yes,yes,1.0,1,487,1
Johannesburg,Johannesburg,1.0,1,1854,1
Big Data,Big Data,1.0,1,2922,1
1960,1960,1.0,1,1577,1
Hillary Clinton,Hillary Rodham Clinton,0.8,0,11733,1
Doctor Who,Doctor Who,1.0,1,1880,1
Victorian era,Victorian era,1.0,1,1921,1
Nokia Theatre,Nokia Theatre,1.0,1,1963,1
Attack on Pearl Harbor,attack on Pearl Harbor,1.0,1,1934,1
"October 1, 2017",October 1st,0.4,0,2007,1
Vestfold,Vestfold,1.0,1,2496,1
Josh Jackson,Josh Jackson,1.0,1,2235,1
Cosmicomics,"""Cosmicomics""",1.0,1,1660,1
American,American,1.0,1,2482,1
England-Germany football rivalry,England and West Germany,0.0,0,1963,1
Emilia-Romagna,northern Italian region,0.0,0,1394,1
14 November 1889,14 November 1889,1.0,1,2836,1
1 million,1 million,1.0,1,1697,1
Rashtriya Swayamsevak Sangh,the Hindu nationalist Rashtriya Swayamsevak Sangh,0.6666666666666666,0,1717,1
New York State Route 337,I-90,0.0,0,2218,1
Conscription in the United States,Conscription in the United States,1.0,1,14256,1
Ford Fusion,Ford Fusion,1.0,1,2318,1
1880,1880,1.0,1,1916,1
Bart Conner,Bart Conner,1.0,1,2048,1
Advanced Micro Devices,Advanced Micro Devices,1.0,1,2159,1
Stacey Kent,Stacey Kent,1.0,1,2326,1
Barton Mine,Barton Mine,1.0,1,2183,1
"3,544","3,544",1.0,1,1729,1
Yes,yes,1.0,1,1222,1
tennis players,former tennis player,0.4,0,1228,1
Elyes Gabel,Elyes Gabel,1.0,1,1675,1
"singer-songwriter, actor","singer-songwriter, actor",1.0,1,1570,1
No,"Robert Manoogian Jr. (January 4, 1918 – April 3, 2002) was an American professional wrestler",0.0,0,1616,1
