task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-link,0,42,1.0,1,2497,2,
click-link,1,43,1.0,1,2647,2,
click-link,2,44,1.0,1,2562,2,
click-dialog,0,42,1.0,1,3140,2,
click-dialog,1,43,1.0,1,3349,2,
click-dialog,2,44,1.0,1,3266,2,
enter-password,0,42,1.0,3,3149,2,
enter-password,1,43,1.0,3,3148,2,
enter-password,2,44,1.0,3,4712,3,
drag-box,0,42,1.0,2,4623,3,
drag-box,1,43,1.0,2,4748,3,
drag-box,2,44,1.0,2,4716,3,
drag-circle,0,42,1.0,2,4030,3,
drag-circle,1,43,1.0,2,3961,3,
drag-circle,2,44,1.0,2,3994,3,   
drag-single-shape,0,42,1.0,2,4067,3,
drag-single-shape,1,43,1.0,2,4070,3,
drag-single-shape,2,44,1.0,2,4057,3,
grid-coordinate,0,42,1.0,1,3774,2,
grid-coordinate,1,43,1.0,1,3777,2,
grid-coordinate,2,44,1.0,1,3797,2,
login-user,0,42,1.0,3,6115,4,
login-user,1,43,1.0,3,3141,2,
login-user,2,44,1.0,3,3060,2,
click-button,0,42,1.0,1,2543,2,
click-button,1,43,1.0,1,2688,2,
click-button,2,44,1.0,1,2565,2,
email-inbox-delete,0,42,1.0,1,4972,3,
email-inbox-delete,1,43,1.0,1,3289,2,
email-inbox-delete,2,44,1.0,1,4983,3,
text-transform,0,42,1.0,2,3971,2,
text-transform,1,43,1.0,2,4217,2,
text-transform,2,44,1.0,2,3815,2,
simple-arithmetic,0,42,1.0,2,4102,3,
simple-arithmetic,1,43,1.0,2,4077,3,
simple-arithmetic,2,44,1.0,2,4119,3,
simple-algebra,0,42,1.0,2,4132,3,
simple-algebra,1,43,1.0,2,2781,2,
simple-algebra,2,44,1.0,2,4190,3,
read-table-2,0,42,1.0,3,6407,3,
read-table-2,1,43,1.0,3,9581,4,
read-table-2,2,44,1.0,3,6366,3,
focus-text-2,0,42,1.0,1,2506,2,
focus-text-2,1,43,1.0,1,2640,2,
focus-text-2,2,44,1.0,1,2486,2,
