task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-checkboxes-transfer,0,42,1.0,1,2939,2,
click-checkboxes-transfer,1,43,1.0,3,3229,2,
click-checkboxes-transfer,2,44,1.0,4,3791,2,
multi-orderings,0,42,1.0,4,4091,2,
multi-orderings,1,43,1.0,4,3901,2,
multi-orderings,2,44,1.0,4,4400,2,
phone-book,0,42,1.0,2,4743,3,
phone-book,1,43,1.0,2,4813,3,
phone-book,2,44,1.0,2,4888,3,
multi-layouts,0,42,1.0,4,8995,5,
multi-layouts,1,43,1.0,4,5658,3,
multi-layouts,2,44,1.0,4,5916,3,
click-tab-2,0,42,1.0,2,4728,3,
click-tab-2,1,43,1.0,1,3472,2,
click-tab-2,2,44,1.0,3,7179,4,
email-inbox-reply,0,42,1.0,4,10569,5,
email-inbox-reply,1,43,1.0,4,10843,5,
email-inbox-reply,2,44,1.0,4,10550,5,
drag-shapes-2,0,42,1.0,6,9738,3,
drag-shapes-2,1,43,0.38,6,11003,3,
drag-shapes-2,2,44,-0.08000000000000002,6,10473,3,
drag-shapes,0,42,1.0,3,7332,4,
drag-shapes,1,43,-1.0,2,6706,3,
drag-shapes,2,44,1.0,2,5389,3,
copy-paste,0,42,1.0,6,11650,7,
copy-paste,1,43,1.0,6,11837,7,
copy-paste,2,44,1.0,6,7297,4,
click-checkboxes-large,0,42,1.0,6,12411,3,
click-checkboxes-large,1,43,1.0,10,15442,3,
click-checkboxes-large,2,44,1.0,12,20512,3,
click-collapsible-2,0,42,1.0,3,6311,4,
click-collapsible-2,1,43,1.0,2,4362,3,
click-collapsible-2,2,44,1.0,4,8915,5,
click-widget,0,42,1.0,1,2707,2,
click-widget,1,43,1.0,1,2616,2,
click-widget,2,44,1.0,1,2636,2,
email-inbox-forward,0,42,1.0,4,10678,5,
email-inbox-forward,1,43,1.0,4,10674,5,
email-inbox-forward,2,44,1.0,4,10504,5,
search-engine,0,42,1.0,4,8048,4,
search-engine,1,43,1.0,3,6284,4,
search-engine,2,44,1.0,5,12756,6,
navigate-tree,0,42,1.0,3,7651,4,
navigate-tree,1,43,1.0,2,5116,3,
navigate-tree,2,44,1.0,2,5301,3,    
