task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-link,0,42,1.0,1,3060,3,
click-link,1,43,1.0,1,3401,3,
click-link,2,44,1.0,1,3239,3,
click-dialog,0,42,1.0,1,4798,3,
click-dialog,1,43,1.0,1,5049,3,
click-dialog,2,44,1.0,1,5115,3,
enter-password,0,42,1.0,3,6921,5,
enter-password,1,43,1.0,3,6975,5,
enter-password,2,44,1.0,4,11010,8,
drag-box,0,42,0.0,1,6591,4,
drag-box,1,43,1.0,2,7488,4,
drag-box,2,44,0.0,1,5906,4,
drag-circle,0,42,1.0,2,5856,4,
drag-circle,1,43,1.0,2,5035,4,
drag-circle,2,44,1.0,2,5391,4,
drag-single-shape,0,42,1.0,2,5504,4,
drag-single-shape,1,43,1.0,2,5635,4,
drag-single-shape,2,44,1.0,2,4989,4,
grid-coordinate,0,42,1.0,1,5318,3,
grid-coordinate,1,43,1.0,1,5313,3,
grid-coordinate,2,44,1.0,1,5303,3,
login-user,0,42,1.0,3,7129,5,
login-user,1,43,1.0,4,11221,8,
login-user,2,44,1.0,3,11086,9,
click-button,0,42,1.0,1,3161,3,
click-button,1,43,1.0,1,3392,3,
click-button,2,44,1.0,1,3392,3,
email-inbox-delete,0,42,1.0,1,4645,3,
email-inbox-delete,1,43,1.0,1,5530,3,
email-inbox-delete,2,44,1.0,1,4147,3,
text-transform,0,42,1.0,2,8084,6,
text-transform,1,43,1.0,3,6144,3,
text-transform,2,44,1.0,2,6908,4,
simple-arithmetic,0,42,1.0,2,7420,6,
simple-arithmetic,1,43,1.0,2,7840,6,
simple-arithmetic,2,44,1.0,2,4883,4,
simple-algebra,0,42,1.0,2,5694,4,
simple-algebra,1,43,1.0,2,8536,6,
simple-algebra,2,44,1.0,2,6759,6,
read-table-2,0,42,1.0,3,22031,12,
read-table-2,1,43,1.0,3,16245,9,
read-table-2,2,44,1.0,5,19443,11,
focus-text-2,0,42,0.0,1,4423,4,
focus-text-2,1,43,1.0,1,3081,3,
focus-text-2,2,44,1.0,1,4940,5,
