task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
buy-ticket,0,42,1.0,1,4046,3,
buy-ticket,1,43,1.0,1,3913,3,
buy-ticket,2,44,1.0,1,4042,3,
form-sequence-2,0,42,0.0,2,7468,5,
form-sequence-2,1,43,0.0,2,6895,5,
form-sequence-2,2,44,0.0,2,7492,5,
social-media-all,0,42,1.0,4,24424,6,
social-media-all,1,43,1.0,4,32054,6,
social-media-all,2,44,1.0,6,60811,8,
email-inbox-nl-turk,0,42,1.0,1,5142,3,
email-inbox-nl-turk,1,43,1.0,4,16633,6,
email-inbox-nl-turk,2,44,1.0,1,6762,3,
drag-sort-numbers,0,42,-1.0,5,44362,15,
drag-sort-numbers,1,43,0.0,7,57480,22,Maximum planner steps reached.
drag-sort-numbers,2,44,1.0,9,50588,17,
tic-tac-toe,0,42,1.0,3,9578,5,
tic-tac-toe,1,43,1.0,3,13718,7,
tic-tac-toe,2,44,1.0,4,18488,8,
book-flight,0,42,1.0,11,52107,23,
book-flight,1,43,1.0,13,75282,25,
book-flight,2,44,0.0,13,91644,26,Maximum planner steps reached.
click-checkboxes-soft,0,42,1.0,3,11483,9,
click-checkboxes-soft,1,43,1.0,5,17444,7,
click-checkboxes-soft,2,44,1.0,2,10377,6,
click-menu-2,0,42,1.0,2,5699,4,
click-menu-2,1,43,1.0,7,23347,9,
click-menu-2,2,44,1.0,2,5110,4,
copy-paste-2,0,42,1.0,6,11687,6,
copy-paste-2,1,43,1.0,9,16673,9,
copy-paste-2,2,44,1.0,6,14684,9,
terminal,0,42,1.0,6,21800,9,
terminal,1,43,1.0,4,12364,8,
terminal,2,44,1.0,4,8632,6,
social-media,0,42,1.0,2,12045,4,
social-media,1,43,1.0,2,15427,4,
social-media,2,44,1.0,2,17438,4,
guess-number,0,42,1.0,8,15595,12,
guess-number,1,43,1.0,2,4029,3,
guess-number,2,44,1.0,6,11685,9,
email-inbox,0,42,1.0,1,4853,3,
email-inbox,1,43,1.0,1,10435,5,
email-inbox,2,44,1.0,4,17168,6,
order-food,0,42,1.0,3,21557,9,
order-food,1,43,1.0,3,18484,5,
order-food,2,44,1.0,4,16573,6,
