task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-checkboxes-transfer,0,42,1.0,1,3129,2,
click-checkboxes-transfer,1,43,1.0,3,3373,2,
click-checkboxes-transfer,2,44,1.0,4,3946,2,
multi-orderings,0,42,1.0,4,3886,2,
multi-orderings,1,43,1.0,4,6059,3,
multi-orderings,2,44,1.0,4,3920,2,
phone-book,0,42,1.0,2,4983,3,
phone-book,1,43,1.0,2,4933,3,
phone-book,2,44,1.0,2,5032,3,
multi-layouts,0,42,1.0,4,3841,2,
multi-layouts,1,43,1.0,4,3756,2,
multi-layouts,2,44,1.0,4,3924,2,
click-tab-2,0,42,1.0,2,4953,3,
click-tab-2,1,43,1.0,1,3879,2,
click-tab-2,2,44,1.0,3,7262,4,
email-inbox-reply,0,42,1.0,4,10767,5,
email-inbox-reply,1,43,1.0,4,10998,5,
email-inbox-reply,2,44,1.0,4,10799,5,
drag-shapes-2,0,42,1.0,6,9385,3,
drag-shapes-2,1,43,0.38,6,12062,3,
drag-shapes-2,2,44,-0.08000000000000002,6,11668,3,
drag-shapes,0,42,-1.0,3,9194,3,
drag-shapes,1,43,-1.0,3,9463,4,
drag-shapes,2,44,1.0,2,5980,3,
copy-paste,0,42,1.0,6,11931,7,
copy-paste,1,43,1.0,6,12089,7,
copy-paste,2,44,1.0,6,7502,4,
click-checkboxes-large,0,42,1.0,6,13514,3,
click-checkboxes-large,1,43,1.0,10,10622,2,
click-checkboxes-large,2,44,1.0,12,22784,3,
click-collapsible-2,0,42,1.0,3,6463,4,
click-collapsible-2,1,43,1.0,2,4537,3,
click-collapsible-2,2,44,1.0,4,9226,5,
click-widget,0,42,1.0,1,2773,2,
click-widget,1,43,1.0,1,2706,2,
click-widget,2,44,1.0,1,2695,2,
email-inbox-forward,0,42,1.0,4,10896,5,
email-inbox-forward,1,43,1.0,4,13571,6,
email-inbox-forward,2,44,1.0,4,10790,5,
search-engine,0,42,1.0,4,8366,4,
search-engine,1,43,1.0,3,5185,3,
search-engine,2,44,1.0,5,12326,5,
navigate-tree,0,42,1.0,3,7709,4,
navigate-tree,1,43,1.0,2,6816,4,
navigate-tree,2,44,1.0,2,5475,3,
