task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-link,0,42,1.0,1,2847,2,
click-link,1,43,1.0,1,2849,2,
click-link,2,44,1.0,1,2727,2,
click-dialog,0,42,1.0,1,3340,2,
click-dialog,1,43,1.0,1,3336,2,
click-dialog,2,44,1.0,1,3369,2,
enter-password,0,42,1.0,3,3250,2,
enter-password,1,43,1.0,3,3278,2,
enter-password,2,44,1.0,3,3235,2,
drag-box,0,42,1.0,2,9147,5,
drag-box,1,43,1.0,2,6048,3,
drag-box,2,44,1.0,2,9201,5,
drag-circle,0,42,1.0,2,4329,3,
drag-circle,1,43,1.0,2,4276,3,
drag-circle,2,44,1.0,2,4271,3,
drag-single-shape,0,42,1.0,2,4381,3,
drag-single-shape,1,43,1.0,2,3000,2,
drag-single-shape,2,44,1.0,2,4327,3,
grid-coordinate,0,42,1.0,1,4113,2,
grid-coordinate,1,43,1.0,1,4172,2,
grid-coordinate,2,44,1.0,1,4135,2,
login-user,0,42,1.0,3,3642,2,
login-user,1,43,1.0,3,3501,2,
login-user,2,44,1.0,3,6479,4,
click-button,0,42,1.0,1,2705,2,
click-button,1,43,1.0,1,2858,2,
click-button,2,44,1.0,1,2727,2,
email-inbox-delete,0,42,1.0,1,5302,3,
email-inbox-delete,1,43,1.0,1,5434,3,
email-inbox-delete,2,44,1.0,1,3481,2,
text-transform,0,42,1.0,2,3398,2,
text-transform,1,43,1.0,2,3934,2,
text-transform,2,44,1.0,2,3576,2,
simple-arithmetic,0,42,1.0,2,4359,3,
simple-arithmetic,1,43,1.0,2,4360,3,
simple-arithmetic,2,44,1.0,2,4379,3,
simple-algebra,0,42,1.0,2,4461,3,
simple-algebra,1,43,1.0,2,4480,3,
simple-algebra,2,44,1.0,2,4470,3,
read-table-2,0,42,1.0,3,8791,4,
read-table-2,1,43,1.0,3,7029,3,
read-table-2,2,44,1.0,3,7263,3,
focus-text-2,0,42,1.0,1,2713,2,
focus-text-2,1,43,1.0,1,2780,2,
focus-text-2,2,44,1.0,1,2829,2,
