task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
buy-ticket,0,42,1.0,1,3293,2,
buy-ticket,1,43,1.0,1,3410,2,
buy-ticket,2,44,1.0,1,3364,2,
form-sequence-2,0,42,1.0,3,9837,5,
form-sequence-2,1,43,1.0,3,9644,5,
form-sequence-2,2,44,1.0,3,10533,5,
social-media-all,0,42,1.0,4,14084,3,
social-media-all,1,43,1.0,4,11649,2,
social-media-all,2,44,1.0,6,27870,3,
email-inbox-nl-turk,0,42,1.0,1,3639,2,
email-inbox-nl-turk,1,43,1.0,4,33424,8,
email-inbox-nl-turk,2,44,1.0,1,5254,2,
drag-sort-numbers,0,42,1.0,3,9627,4,
drag-sort-numbers,1,43,1.0,5,16307,6,
drag-sort-numbers,2,44,1.0,4,12424,5,
tic-tac-toe,0,42,1.0,3,7834,4,
tic-tac-toe,1,43,1.0,3,8182,4,
tic-tac-toe,2,44,1.0,4,16151,6,
book-flight,0,42,1.0,19,144684,16,"Actor failed: GraphRecursionError: Recursion limit of 31 reached without hitting a stop condition. You can increase the limit by setting the `recursion_limit` config key.
For troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/GRAPH_RECURSION_LIMIT"
book-flight,1,43,1.0,10,58431,11,
book-flight,2,44,1.0,10,57740,11,
click-checkboxes-soft,0,42,1.0,3,5288,3,
click-checkboxes-soft,1,43,1.0,5,8714,3,
click-checkboxes-soft,2,44,1.0,2,4286,2,
click-menu-2,0,42,1.0,2,4737,3,
click-menu-2,1,43,1.0,14,62282,15,
click-menu-2,2,44,1.0,2,4673,3,
copy-paste-2,0,42,1.0,6,15273,7,
copy-paste-2,1,43,1.0,6,15167,7,
copy-paste-2,2,44,1.0,6,15337,7,
terminal,0,42,1.0,6,20198,8,
terminal,1,43,1.0,6,20047,8,
terminal,2,44,1.0,5,15661,7,
social-media,0,42,1.0,2,10058,3,
social-media,1,43,1.0,2,12435,3,
social-media,2,44,1.0,2,14647,3,
guess-number,0,42,1.0,8,10274,5,
guess-number,1,43,1.0,2,4450,3,
guess-number,2,44,1.0,6,9853,5,
email-inbox,0,42,1.0,1,3755,2,
email-inbox,1,43,1.0,1,4793,2,
email-inbox,2,44,1.0,4,15608,5,
order-food,0,42,1.0,3,13941,4,
order-food,1,43,1.0,3,13788,4,
order-food,2,44,1.0,4,12802,3,
