task,episode,seed,reward,num_actions,total_tokens,num_api_calls,error
click-checkboxes-transfer,0,42,1.0,1,3170,2,
click-checkboxes-transfer,1,43,1.0,3,3929,2,
click-checkboxes-transfer,2,44,1.0,4,4052,2,
multi-orderings,0,42,1.0,4,6218,3,
multi-orderings,1,43,1.0,4,9969,5,
multi-orderings,2,44,1.0,4,6348,3,
phone-book,0,42,1.0,2,5227,3,
phone-book,1,43,1.0,2,5240,3,
phone-book,2,44,1.0,2,5249,3,
multi-layouts,0,42,1.0,4,9690,5,
multi-layouts,1,43,1.0,4,5901,3,
multi-layouts,2,44,1.0,4,6309,3,
click-tab-2,0,42,1.0,2,5014,3,
click-tab-2,1,43,1.0,1,3615,2,
click-tab-2,2,44,1.0,3,7684,4,
email-inbox-reply,0,42,1.0,4,11182,5,
email-inbox-reply,1,43,1.0,4,11425,5,
email-inbox-reply,2,44,1.0,4,11150,5,
drag-shapes-2,0,42,1.0,6,9843,3,
drag-shapes-2,1,43,0.38,6,11150,3,
drag-shapes-2,2,44,1.0,6,9053,3,
drag-shapes,0,42,-1.0,5,19091,7,
drag-shapes,1,43,-1.0,5,8793,3,
drag-shapes,2,44,1.0,2,13524,6,
copy-paste,0,42,1.0,6,12717,7,
copy-paste,1,43,1.0,6,12763,7,
copy-paste,2,44,1.0,6,12946,7,
click-checkboxes-large,0,42,1.0,6,12738,3,
click-checkboxes-large,1,43,1.0,10,15816,3,
click-checkboxes-large,2,44,1.0,12,21694,3,
click-collapsible-2,0,42,1.0,3,6851,4,
click-collapsible-2,1,43,1.0,2,4759,3,
click-collapsible-2,2,44,1.0,4,9651,5,
click-widget,0,42,1.0,1,2926,2,
click-widget,1,43,1.0,1,2876,2,
click-widget,2,44,1.0,1,4373,3,
email-inbox-forward,0,42,1.0,4,11276,5,
email-inbox-forward,1,43,1.0,4,11380,5,
email-inbox-forward,2,44,1.0,4,11123,5,
search-engine,0,42,1.0,4,10580,5,
search-engine,1,43,1.0,3,6796,4,
search-engine,2,44,1.0,5,13949,6,
navigate-tree,0,42,1.0,3,7758,4,
navigate-tree,1,43,1.0,2,5011,3,
navigate-tree,2,44,1.0,2,5579,3,
